League,Season,Date,Team,Market Value,Roster Size,Window
Ligue 1,2023_2024,2023-09-15,Paris SG,1040000000,31,Summer
Ligue 1,2023_2024,2023-09-15,Monaco,331800000,27,Summer
Ligue 1,2023_2024,2023-09-15,Strasbourg,101950000,27,Summer
Ligue 1,2023_2024,2023-09-15,Marseille,257350000,24,Summer
Ligue 1,2023_2024,2023-09-15,Lyon,196850000,26,Summer
Ligue 1,2023_2024,2023-09-15,Lille,207800000,24,Summer
Ligue 1,2023_2024,2023-09-15,Rennes,269150000,22,Summer
Ligue 1,2023_2024,2023-09-15,Lens,198450000,29,Summer
Ligue 1,2023_2024,2023-09-15,Nice,228100000,28,Summer
Ligue 1,2023_2024,2023-09-15,Toulouse,64750000,31,Summer
Ligue 1,2023_2024,2023-09-15,Paris FC,14050000,25,Summer
Ligue 1,2023_2024,2023-09-15,Lorient,92900000,30,Summer
Ligue 1,2023_2024,2023-09-15,Nantes,110850000,30,Summer
Ligue 1,2023_2024,2023-09-15,Auxerre,27150000,24,Summer
Ligue 1,2023_2024,2023-09-15,Brest,65950000,23,Summer
Ligue 1,2023_2024,2023-09-15,Angers,25500000,26,Summer
Ligue 1,2023_2024,2023-09-15,Le Havre,49500000,29,Summer
Ligue 1,2023_2024,2023-09-15,Metz,34500000,29,Summer
Ligue 1,2023_2024,2024-02-15,Paris SG,1030000000,29,Winter
Ligue 1,2023_2024,2024-02-15,Monaco,333200000,24,Winter
Ligue 1,2023_2024,2024-02-15,Strasbourg,123550000,25,Winter
Ligue 1,2023_2024,2024-02-15,Marseille,237750000,26,Winter
Ligue 1,2023_2024,2024-02-15,Lyon,236300000,28,Winter
Ligue 1,2023_2024,2024-02-15,Lille,221000000,25,Winter
Ligue 1,2023_2024,2024-02-15,Rennes,262300000,24,Winter
Ligue 1,2023_2024,2024-02-15,Lens,199150000,27,Winter
Ligue 1,2023_2024,2024-02-15,Nice,260500000,28,Winter
Ligue 1,2023_2024,2024-02-15,Toulouse,85200000,28,Winter
Ligue 1,2023_2024,2024-02-15,Paris FC,18350000,28,Winter
Ligue 1,2023_2024,2024-02-15,Lorient,101850000,28,Winter
Ligue 1,2023_2024,2024-02-15,Nantes,89250000,25,Winter
Ligue 1,2023_2024,2024-02-15,Auxerre,27350000,25,Winter
Ligue 1,2023_2024,2024-02-15,Brest,79350000,24,Winter
Ligue 1,2023_2024,2024-02-15,Angers,22700000,22,Winter
Ligue 1,2023_2024,2024-02-15,Le Havre,56000000,23,Winter
Ligue 1,2023_2024,2024-02-15,Metz,41600000,28,Winter
Ligue 1,2024_2025,2024-09-15,Paris SG,873500000,26,Summer
Ligue 1,2024_2025,2024-09-15,Monaco,339200000,24,Summer
Ligue 1,2024_2025,2024-09-15,Strasbourg,158600000,32,Summer
Ligue 1,2024_2025,2024-09-15,Marseille,270900000,30,Summer
Ligue 1,2024_2025,2024-09-15,Lyon,267000000,30,Summer
Ligue 1,2024_2025,2024-09-15,Lille,257700000,29,Summer
Ligue 1,2024_2025,2024-09-15,Rennes,197050000,27,Summer
Ligue 1,2024_2025,2024-09-15,Lens,172150000,29,Summer
Ligue 1,2024_2025,2024-09-15,Nice,217200000,27,Summer
Ligue 1,2024_2025,2024-09-15,Toulouse,81850000,22,Summer
Ligue 1,2024_2025,2024-09-15,Paris FC,29250000,27,Summer
Ligue 1,2024_2025,2024-09-15,Lorient,75850000,25,Summer
Ligue 1,2024_2025,2024-09-15,Nantes,94050000,23,Summer
Ligue 1,2024_2025,2024-09-15,Auxerre,55950000,29,Summer
Ligue 1,2024_2025,2024-09-15,Brest,123700000,26,Summer
Ligue 1,2024_2025,2024-09-15,Angers,32900000,32,Summer
Ligue 1,2024_2025,2024-09-15,Le Havre,68450000,29,Summer
Ligue 1,2024_2025,2024-09-15,Metz,26700000,24,Summer
Ligue 1,2024_2025,2025-02-15,Paris SG,870500000,24,Winter
Ligue 1,2024_2025,2025-02-15,Monaco,403700000,25,Winter
Ligue 1,2024_2025,2025-02-15,Strasbourg,194650000,26,Winter
Ligue 1,2024_2025,2025-02-15,Marseille,281600000,29,Winter
Ligue 1,2024_2025,2025-02-15,Lyon,218930000,23,Winter
Ligue 1,2024_2025,2025-02-15,Lille,297350000,26,Winter
Ligue 1,2024_2025,2025-02-15,Rennes,204900000,29,Winter
Ligue 1,2024_2025,2025-02-15,Lens,125900000,27,Winter
Ligue 1,2024_2025,2025-02-15,Nice,219600000,27,Winter
Ligue 1,2024_2025,2025-02-15,Toulouse,82350000,22,Winter
Ligue 1,2024_2025,2025-02-15,Paris FC,30000000,26,Winter
Ligue 1,2024_2025,2025-02-15,Lorient,56900000,25,Winter
Ligue 1,2024_2025,2025-02-15,Nantes,102050000,26,Winter
Ligue 1,2024_2025,2025-02-15,Auxerre,65599999,29,Winter
Ligue 1,2024_2025,2025-02-15,Brest,120150000,26,Winter
Ligue 1,2024_2025,2025-02-15,Angers,36350000,27,Winter
Ligue 1,2024_2025,2025-02-15,Le Havre,67150000,27,Winter
Ligue 1,2024_2025,2025-02-15,Metz,25630000,24,Winter
Ligue 1,2025_2026,2025-09-15,Paris SG,1070000000,23,Summer
Ligue 1,2025_2026,2025-09-15,Monaco,330800000,28,Summer
Ligue 1,2025_2026,2025-09-15,Strasbourg,266050000,29,Summer
Ligue 1,2025_2026,2025-09-15,Marseille,394400000,31,Summer
Ligue 1,2025_2026,2025-09-15,Lyon,161650000,26,Summer
Ligue 1,2025_2026,2025-09-15,Lille,194800000,28,Summer
Ligue 1,2025_2026,2025-09-15,Rennes,166600000,22,Summer
Ligue 1,2025_2026,2025-09-15,Lens,84700000,28,Summer
Ligue 1,2025_2026,2025-09-15,Nice,175600000,29,Summer
Ligue 1,2025_2026,2025-09-15,Toulouse,78100000,32,Summer
Ligue 1,2025_2026,2025-09-15,Paris FC,91050000,29,Summer
Ligue 1,2025_2026,2025-09-15,Lorient,67950000,26,Summer
Ligue 1,2025_2026,2025-09-15,Nantes,66300000,26,Summer
Ligue 1,2025_2026,2025-09-15,Auxerre,61450000,27,Summer
Ligue 1,2025_2026,2025-09-15,Brest,79150000,24,Summer
Ligue 1,2025_2026,2025-09-15,Angers,25700000,27,Summer
Ligue 1,2025_2026,2025-09-15,Le Havre,44350000,26,Summer
Ligue 1,2025_2026,2025-09-15,Metz,50300000,27,Summer
Ligue 1,2025_2026,2026-02-15,Paris SG,1200000000,24,Winter
Ligue 1,2025_2026,2026-02-15,Monaco,359050000,28,Winter
Ligue 1,2025_2026,2026-02-15,Strasbourg,293750000,25,Winter
Ligue 1,2025_2026,2026-02-15,Marseille,400000000,24,Winter
Ligue 1,2025_2026,2026-02-15,Lyon,224750000,28,Winter
Ligue 1,2025_2026,2026-02-15,Lille,240500000,28,Winter
Ligue 1,2025_2026,2026-02-15,Rennes,190300000,23,Winter
Ligue 1,2025_2026,2026-02-15,Lens,119900000,28,Winter
Ligue 1,2025_2026,2026-02-15,Nice,146800000,27,Winter
Ligue 1,2025_2026,2026-02-15,Toulouse,107950000,25,Winter
Ligue 1,2025_2026,2026-02-15,Paris FC,121350000,31,Winter
Ligue 1,2025_2026,2026-02-15,Lorient,71050000,25,Winter
Ligue 1,2025_2026,2026-02-15,Nantes,89350000,28,Winter
